year,half,hev_sold,ldv_sold,hev_share,months
2018,1,161959,8575619,0.0189,6
2018,2,176190,8637927,0.0204,6
2019,1,189300,8401189,0.0225,6
2019,2,210144,8551723,0.0246,6
2020,1,166664,6412664,0.026,6
2020,2,288403,8059368,0.0358,6
2021,1,403879,8288155,0.0487,6
2021,2,395167,6658818,0.0593,6
2022,1,399576,6783333,0.0589,6
2022,2,366836,6971006,0.0526,6
2023,1,525800,7651042,0.0687,6
2023,2,649656,7851437,0.0827,6
2024,1,715216,7789214,0.0918,6
2024,2,893832,8069204,0.1108,6
2025,1,1016475,8111369,0.1253,6
2025,2,1053563,8119237,0.1298,6
2026,1,1222960,7913974,0.1545,6
2026,2,205949,1364039,0.151,1
