year,quarter,hev_sold,ldv_sold,hev_share,months
2018,1,74492,4091864,0.0182,3
2018,2,87467,4483755,0.0195,3
2018,3,90370,4277315,0.0211,3
2018,4,85820,4360612,0.0197,3
2019,1,72809,3983481,0.0183,3
2019,2,116491,4417708,0.0264,3
2019,3,109019,4302332,0.0253,3
2019,4,101125,4249391,0.0238,3
2020,1,83066,3477084,0.0239,3
2020,2,83598,2935580,0.0285,3
2020,3,129222,3895812,0.0332,3
2020,4,159181,4163556,0.0382,3
2021,1,179011,3897214,0.0459,3
2021,2,224868,4390941,0.0512,3
2021,3,202376,3389399,0.0597,3
2021,4,192791,3269419,0.059,3
2022,1,197951,3295018,0.0601,3
2022,2,201625,3488315,0.0578,3
2022,3,173990,3385085,0.0514,3
2022,4,192846,3585921,0.0538,3
2023,1,220678,3560667,0.062,3
2023,2,305122,4090375,0.0746,3
2023,3,320310,3958839,0.0809,3
2023,4,329346,3892598,0.0846,3
2024,1,321732,3731655,0.0862,3
2024,2,393484,4057559,0.097,3
2024,3,412189,3869722,0.1065,3
2024,4,481643,4199482,0.1147,3
2025,1,476649,3914211,0.1218,3
2025,2,539826,4197158,0.1286,3
2025,3,504305,4098516,0.123,3
2025,4,549258,4020721,0.1366,3
2026,1,522193,3671858,0.1422,3
2026,2,700767,4242116,0.1652,3
2026,3,205949,1364039,0.151,1
