year,month,bev,phev,hev,ldv
2010,12,19,326,28592,1144840
2011,1,103,321,19540,819938
2011,2,83,281,23306,993535
2011,3,298,608,34533,1246668
2011,4,573,493,25602,1157928
2011,5,1150,481,17419,1061841
2011,6,1708,561,12655,1053414
2011,7,932,125,19621,1059730
2011,8,1363,302,21181,1072379
2011,9,1031,723,17625,1053761
2011,10,866,1108,20057,1021185
2011,11,773,1139,26110,994786
2011,12,1212,1529,31100,1243784
2012,1,824,603,21779,913284
2012,2,639,1023,36222,1149432
2012,3,961,3200,48206,1404623
2012,4,479,3116,39901,1184567
2012,5,612,2766,37184,1334642
2012,6,863,2455,34558,1285499
2012,7,479,2537,31611,1153759
2012,8,866,3878,38369,1285292
2012,9,1306,4503,34836,1188899
2012,10,2240,4994,33290,1092294
2012,11,2614,4544,35002,1143916
2012,12,2704,4965,43690,1356070
2013,1,2372,2354,34611,1043238
2013,2,2666,2789,40173,1192299
2013,3,4553,3079,46327,1453038
2013,4,4403,2735,42804,1285446
2013,5,4545,3209,48796,1443311
2013,6,4573,4169,44924,1403121
2013,7,3943,3499,45494,1313844
2013,8,4956,6407,53020,1501294
2013,9,3650,4477,33576,1137206
2013,10,3733,6367,33570,1206182
2013,11,3930,4903,36085,1243852
2013,12,4770,5020,36155,1358734
2014,1,2971,2934,27555,1011187
2014,2,3324,3721,30561,1192467
2014,3,4578,4594,43790,1537270
2014,4,4187,4718,39430,1391303
2014,5,5802,6651,52227,1609678
2014,6,4982,6511,39225,1421963
2014,7,5693,5740,44488,1435805
2014,8,6483,5920,48208,1586374
2014,9,5983,3357,31385,1245786
2014,10,5927,3735,30892,1281132
2014,11,6176,3609,31109,1302655
2014,12,7419,3867,33302,1507928
2015,1,3977,2113,25312,1152480
2015,2,4435,2589,27038,1258570
2015,3,5715,3020,33654,1545710
2015,4,6037,2962,32379,1455242
2015,5,7057,4416,40257,1634952
2015,6,6975,3409,32330,1476472
2015,7,5143,3836,35666,1510941
2015,8,5224,3786,37633,1577179
2015,9,6704,3038,32106,1442113
2015,10,5740,4081,30485,1455153
2015,11,6103,4275,25153,1318210
2015,12,7954,5483,32387,1641913
2016,1,3576,3137,20967,1148087
2016,2,4424,3909,24371,1343922
