"year","make","model","trim","side","curb_weight_lbs","status","source_url","source_tier","source_quote","notes"
2013,"Lincoln","MKZ","Base","ice",3719,"exact","https://xr793.com/wp-content/uploads/2016/10/2013-Lincoln-Motor-Company-Briefing-Book.pdf","OEM","Curb weight FWD: 3,719 lbs; AWD: 3,874 lbs. [2.0-liter EcoBoost I-4 column]","2013 MKZ Base FWD 2.0 EcoBoost 6A sedan. Briefing book p.31–33: first column is 2.0 EcoBoost, second is 3.7 V6 (FWD 3,829 / AWD 4,002). Used FWD 2.0T figure only. Car and Driver 4dr Sdn FWD also 3719."
2013,"Lincoln","MKZ","Hybrid","hev",3828,"exact","https://xr793.com/wp-content/uploads/2016/10/2013-Lincoln-Motor-Company-Briefing-Book.pdf","OEM","Curb weight 3,828 lbs. [2013 Lincoln MKZ Hybrid Technical Specifications]","2013 MKZ Hybrid FWD 2.0 Atkinson eCVT sedan; Hybrid was FWD-only. Lincoln Motor Company briefing book p.36 (same PDF at Ford/SDSU archive). Car and Driver also lists Base Curb Weight 3828. 3,829 in the book is 3.7 V6 FWD ICE, not the hybrid."
2013,"Mercedes-Benz","E-Class","E400 Hybrid","hev",4189,"exact","http://www.mbusa.com/vcm/MB/DigitalAssets/pdfmb/brochures/2013-E-Class-Sedan-Wagon.pdf","OEM","Curb weight 3,825 lbs (RWD) 3,979 lbs (4matic) 4,059 lbs (E350 BlueTEC) 4,189 lbs (E400 HYBRID)","2013 W212 pre-facelift E400 HYBRID Sport sedan; RWD only. Same 4189 lb figure appears on later secondary listings."
2014,"Audi","Q5","3.0T Prestige quattro","ice",,"unresolved","https://cdn.dealereprocess.org/cdn/brochures/audi/2014-q5.pdf","OEM","Curb weight (lb) 4,079 NA 4,475 NA [columns Q5 2.0T | Q5 3.0T | Q5 TDI | Q5 hybrid]","2014 US Q5 brochure prints NA for 3.0T. 2013 Audi media kit listed 3.0T at 4345 lb; 2015-2016 brochures list 4354 lb. Secondary tables disagree (4354 vs 4409); the 4409 page mixes SQ5 354-hp specs. Not carried across years."
2014,"Lincoln","MKZ","Hybrid","hev",3828,"exact","https://www.caranddriver.com/lincoln/mkz/specs/2014/lincoln_mkz_lincoln-mkz-hybrid_2014","secondary","Base Curb Weight (pounds) 3828","2014 MKZ Hybrid FWD 2.0 Atkinson eCVT sedan; single hybrid configuration. AP fact sheet (Washington Examiner, 28 May 2014) also prints CURB WEIGHT: 3,828 pounds. 2013 OEM book is 3828 but was not used as a year crosswalk. 2014 consumer brochure has no curb weight."
2014,"Mercedes-Benz","E-Class","E350 Sport","ice",4012,"shared_configuration","https://www.mbusa.com/vcm/MB/DigitalAssets/pdfmb/brochures/2014-E-Class-Sedan-Wagon.pdf","OEM","Curb weight E 250 BlueTEC 4,200 lbs; E 250 BlueTEC 4matic 4,409 lbs; E 350 4,012 lbs; E 350 4matic 4,211 lbs; E 400 HYBRID 4,266 lbs","MY2014 brochure lists one RWD E350 sedan weight covering Sport and Luxury. Early MY2014 press technical data (20 May 2013) still printed E350 Sedan 3825 lb, the 2013 pre-facelift figure; brochure 4012 used for the facelifted 2014 Sport."
2015,"Audi","Q5","3.0T Prestige quattro","ice",4354,"shared_configuration","https://cdn.dealereprocess.org/cdn/brochures/audi/2015-q5.pdf","OEM","Curb weight (lb) 4,090 4,354 4,475 4,431 [columns Q5 2.0T | Q5 3.0T | Q5 TDI | Q5 hybrid]","2015 US brochure gives one 3.0T Supercharged quattro curb weight; Prestige vs Premium Plus not separately listed. Adaptive damping is Prestige-available only. Some secondary Prestige tables list 4365 lb."
2015,"INFINITI","Q50","Hybrid Premium","hev",4085,"exact","https://usa.infinitinews.com/en-US/releases/us-2015-infiniti-q50-press-kit","OEM","CURB WEIGHTS (lbs) Q50 Hybrid Premium AWD ... Front Rear Total 2,235 1,850 4,085","2015 Q50 Hybrid Premium AWD (3.5L hybrid 7A). Official US press-kit total for this drivetrain/trim."
2015,"INFINITI","Q50","Hybrid Premium","hev",3913,"exact","https://usa.infinitinews.com/en-US/releases/us-2015-infiniti-q50-press-kit","OEM","CURB WEIGHTS (lbs) Q50 Hybrid Premium RWD ... Front Rear Total 2,090 1,823 3,913","2015 Q50 Hybrid Premium RWD (3.5L hybrid 7A). Official US press-kit total for this drivetrain/trim."
2015,"INFINITI","Q50","Hybrid Sport","hev",4145,"exact","https://usa.infinitinews.com/en-US/releases/us-2015-infiniti-q50-press-kit","OEM","CURB WEIGHTS (lbs) Q50S Hybrid AWD ... Front Rear Total 2,262 1,883 4,145","2015 Q50 Hybrid Sport AWD maps to Infiniti Q50S Hybrid AWD (19-in wheels, sport brakes/suspension). Official US press-kit total."
2015,"INFINITI","Q50","Hybrid Sport","hev",3973,"exact","https://usa.infinitinews.com/en-US/releases/us-2015-infiniti-q50-press-kit","OEM","CURB WEIGHTS (lbs) Q50S Hybrid RWD ... Front Rear Total 2,119 1,854 3,973","2015 Q50 Hybrid Sport RWD maps to Infiniti Q50S Hybrid RWD. Official US press-kit total."
2015,"INFINITI","Q50","Premium","ice",3787,"exact","https://usa.infinitinews.com/en-US/releases/us-2015-infiniti-q50-press-kit","OEM","CURB WEIGHTS (lbs) Q50 3.7 Premium AWD ... Front Rear Total 2,145 1,642 3,787","2015 Q50 Premium AWD (3.7L V6 7A). Official US press-kit total for this drivetrain/trim."
2015,"INFINITI","Q50","Premium","ice",3611,"exact","https://usa.infinitinews.com/en-US/releases/us-2015-infiniti-q50-press-kit","OEM","CURB WEIGHTS (lbs) Q50 3.7 Premium RWD ... Front Rear Total 1,997 1,614 3,611","2015 Q50 Premium RWD (3.7L V6 7A). Official US press-kit total for this drivetrain/trim."
2015,"INFINITI","Q50","Sport","ice",3849,"exact","https://usa.infinitinews.com/en-US/releases/us-2015-infiniti-q50-press-kit","OEM","CURB WEIGHTS (lbs) Q50S 3.7 AWD ... Front Rear Total 2,174 1,675 3,849","2015 Q50 Sport AWD maps to Infiniti Q50S 3.7 AWD. Official US press-kit total."
2015,"INFINITI","Q50","Sport","ice",3675,"exact","https://usa.infinitinews.com/en-US/releases/us-2015-infiniti-q50-press-kit","OEM","CURB WEIGHTS (lbs) Q50S 3.7 RWD ... Front Rear Total 2,026 1,649 3,675","2015 Q50 Sport RWD maps to Infiniti Q50S 3.7 RWD. Official US press-kit total."
2015,"INFINITI","QX60","Base","ice",4523,"exact","https://usa.infinitinews.com/en-US/releases/us-2015-infiniti-qx60-press-kit","OEM","Curb weight (lbs.) Front Rear Total ... QX60 3.5 AWD 2,536.0 1,987.4 4,523.4","Nearest-pound rounding of OEM 4,523.4 for QX60 3.5 AWD. 2015 US brochure lists 4,524."
2015,"INFINITI","QX60","Base","ice",4384,"exact","https://usa.infinitinews.com/en-US/releases/us-2015-infiniti-qx60-press-kit","OEM","Curb weight (lbs.) Front Rear Total ... QX60 3.5 2,483.0 1,901.0 4,384.1","Nearest-pound rounding of OEM 4,384.1 for QX60 3.5 FWD. 2015 US brochure lists 4,385."
2015,"INFINITI","QX60","Hybrid","hev",4678,"exact","https://usa.infinitinews.com/en-US/releases/release-cb0bf5368ed14611bbd099e4f08c8219-us-2015-infiniti-qx60-hybrid-press-kit","OEM","Curb weight (lbs.) Front Rear Total ... QX60 Hybrid AWD 2,587.1 2,090.4 4,677.5","Nearest-pound rounding of OEM 4,677.5. 2015 US brochure lists 4,678. Secondary listings of 4,625 conflict and were not used."
2015,"INFINITI","QX60","Hybrid","hev",4538,"exact","https://usa.infinitinews.com/en-US/releases/release-cb0bf5368ed14611bbd099e4f08c8219-us-2015-infiniti-qx60-hybrid-press-kit","OEM","Curb weight (lbs.) Front Rear Total ... QX60 Hybrid 2,534.2 2,004.0 4,538.2","Nearest-pound rounding of OEM 4,538.2. 2015 US brochure lists 4,539. Secondary listings of 4,485 conflict and were not used."
2015,"Mercedes-Benz","E-Class","E400 Sport Hybrid","hev",4255,"exact","https://www.mbusa.com/vcm/MB/DigitalAssets/pdfmb/brochures/15_E_Class_SW_010515.pdf","OEM","Curb weight (RWD/4MATIC) BlueTEC: 4,167 / 4,365 lbs; E 350: 4,001 / 4,211 lbs; HYBRID: 4,255 / — lbs; E 400: 4,112 / 4,277 lbs","2015 brochure lists the hybrid sedan as RWD-only at 4255 lb. media.mbusa.com MY2015 sedan specs table is misaligned and shows 4189, the 2013 hybrid figure; 2014 brochure had listed the hybrid at 4266 lb."
2015,"Toyota","Highlander","Limited Platinum","ice",4508,"shared_configuration","http://cdn.dealereprocess.com/cdn/brochures/toyota/ca/2015-highlander.pdf","OEM","Curb Weight kg (lb) 2045 (4508) [Limited AWD column]","2015 Toyota Highlander Limited Platinum 4dr SUV AWD; 3.5L V6 6A; 270 hp; 7-passenger. Opened Toyota Canada 2015 Highlander brochure: Limited AWD is 2,045 kg (4,508 lb). Platinum is a Limited equipment package (panoramic roof / driver tech / heated 2nd row) and is not a separate curb-weight column. Toyota US pressroom product-info PDF is linked but the S3 file returned Access Denied. US KBB Limited Platinum AWD and jbcarpages Limited Platinum AWD also list 4,508 lb."
2016,"Audi","Q5","3.0T Prestige quattro","ice",4354,"shared_configuration","https://cdn.dealereprocess.org/cdn/brochures/audi/2016-q5.pdf","OEM","Curb weight (lb) 4,090 4,354 4,475 4,431 4,420 [columns Q5 2.0T | Q5 3.0T | Q5 TDI | Q5 hybrid | SQ5]","2016 US brochure gives one 3.0T Supercharged quattro curb weight; Prestige vs Premium Plus not separately listed. Some secondary Prestige tables list 4387 lb."
2016,"INFINITI","Q70","Base","ice",3867,"exact","https://usa.infinitinews.com/en-US/releases/release-a022d53d3da442b4a624fc061574caf5-us-2016-infiniti-q70-press-kit","OEM","Curb weight (lbs.) Front Rear Total 2,087 1,780 3,867","2016 Q70 3.7 RWD standard wheelbase (not Q70L). Official US press-kit total for Q70 3.7 RWD."
2016,"INFINITI","Q70","Hybrid","hev",4134,"exact","https://usa.infinitinews.com/en-US/releases/release-cbd559c8dd71494bac9f3c54b8b93f6f-us-2016-infiniti-q70-hybrid-press-kit","OEM","Curb weight (lbs.) Front Rear Total 2,123 2,001 4,134","2016 Q70 Hybrid is RWD-only standard-wheelbase sedan. Car and Driver lists 4,129; used OEM 4,134."
