"year","body","n_models"
2012,"Hatchback",3
2012,"SUV",8
2012,"Sedan",11
2012,"Truck",2
2012,"Wagon",1
2013,"Hatchback",3
2013,"SUV",8
2013,"Sedan",17
2013,"Truck",2
2013,"Wagon",2
2014,"Hatchback",3
2014,"SUV",8
2014,"Sedan",19
2014,"Wagon",2
2015,"Hatchback",3
2015,"SUV",7
2015,"Sedan",17
2015,"Wagon",2
2016,"Hatchback",3
2016,"SUV",8
2016,"Sedan",15
2016,"Wagon",2
2017,"Coupe",1
2017,"Hatchback",4
2017,"SUV",8
2017,"Sedan",13
2017,"Wagon",2
2018,"Coupe",2
2018,"Hatchback",3
2018,"SUV",7
2018,"Sedan",14
2018,"Wagon",1
2019,"Coupe",2
2019,"Hatchback",3
2019,"SUV",8
2019,"Sedan",12
2020,"Coupe",2
2020,"Hatchback",2
2020,"SUV",10
2020,"Sedan",12
2021,"Coupe",2
2021,"Hatchback",2
2021,"Minivan",1
2021,"SUV",12
2021,"Sedan",9
2022,"Coupe",2
2022,"Hatchback",2
2022,"Minivan",1
2022,"SUV",13
2022,"Sedan",9
2022,"Truck",2
2023,"Coupe",1
2023,"Hatchback",1
2023,"Minivan",1
2023,"SUV",16
2023,"Sedan",8
2023,"Truck",3
2024,"Convertible",1
2024,"Coupe",2
2024,"Hatchback",1
2024,"Minivan",1
2024,"SUV",17
2024,"Sedan",8
2024,"Truck",2
2025,"Convertible",2
2025,"Coupe",3
2025,"Hatchback",2
2025,"Minivan",2
2025,"SUV",21
2025,"Sedan",9
2025,"Truck",4
2026,"Convertible",2
2026,"Coupe",3
2026,"Hatchback",2
2026,"Minivan",2
2026,"SUV",24
2026,"Sedan",7
2026,"Truck",4
