"pair_id","year","make","model","trim_hyb","trim_ice","trim_key","trim_key_hyb","body_type_hyb","drive_type_hyb","drive_type_ice","truck_bed","package_hyb","package_ice","msrp_hyb","msrp_ice","hp_hyb","hp_ice","mpg_combined_hyb","mpg_combined_ice","curb_weight_hyb","curb_weight_ice"
1,2013,"Acura","ILX","Hybrid","Technology Package","technology package","basic","Sedan","front wheel drive","front wheel drive",,"Technology Package","",34400,31400,111,150,38,28,2987,2970
2,2014,"Acura","ILX","Technology Package","Technology Package","technology package","technology package","Sedan","front wheel drive","front wheel drive",,"","",34600,31600,111,150,38,28,2987,2970
3,2017,"Acura","MDX","Sport Hybrid SH-AWD","SH-AWD","sh awd","sport sh awd","SUV","all wheel drive","all wheel drive",,"Technology Package","Technology Package",51960,50460,321,290,27,21,4471,4244
4,2017,"Acura","MDX","Sport Hybrid SH-AWD","SH-AWD","sh awd","sport sh awd","SUV","all wheel drive","all wheel drive",,"Advance Package","Advance Package",58000,56500,321,290,27,22,4484,4257
5,2018,"Acura","MDX","Sport Hybrid SH-AWD","SH-AWD","sh awd","sport sh awd","SUV","all wheel drive","all wheel drive",,"Advance Package","Advance Package",58150,56650,321,290,27,22,4484,4257
6,2018,"Acura","MDX","Sport Hybrid SH-AWD","SH-AWD","sh awd","sport sh awd","SUV","all wheel drive","all wheel drive",,"Technology Package","Technology Package",52100,50600,321,290,27,21,4471,4244
7,2019,"Acura","MDX","Sport Hybrid SH-AWD","SH-AWD","sh awd","sport sh awd","SUV","all wheel drive","all wheel drive",,"Technology Package","Technology Package",52800,51300,321,290,27,22,4471,4264
8,2019,"Acura","MDX","Sport Hybrid SH-AWD","SH-AWD","sh awd","sport sh awd","SUV","all wheel drive","all wheel drive",,"Advance Package","Advance Package",59550,58050,321,290,27,22,4486,4303
9,2020,"Acura","MDX","Sport Hybrid SH-AWD","SH-AWD","sh awd","sport sh awd","SUV","all wheel drive","all wheel drive",,"Technology Package","Technology Package",53000,51500,321,290,27,22,4471,4264
10,2020,"Acura","MDX","Sport Hybrid SH-AWD","SH-AWD","sh awd","sport sh awd","SUV","all wheel drive","all wheel drive",,"Advance Package","Advance Package",59750,58250,321,290,27,22,4486,4303
11,2013,"Audi","Q5","2.0T Prestige quattro","3.0T Prestige quattro","3 0t prestige quattro","2 0t prestige quattro","SUV","all wheel drive","all wheel drive",,"","",50900,51400,245,272,26,21,4431,4354
12,2014,"Audi","Q5","2.0T Prestige quattro","3.0T Prestige quattro","3 0t prestige quattro","2 0t prestige quattro","SUV","all wheel drive","all wheel drive",,"","",51300,51900,245,272,26,21,4431,
13,2015,"Audi","Q5","2.0T Prestige quattro","3.0T Prestige quattro","3 0t prestige quattro","2 0t prestige quattro","SUV","all wheel drive","all wheel drive",,"","",51900,52900,245,272,26,21,4431,4354
14,2016,"Audi","Q5","2.0T Prestige quattro","3.0T Prestige quattro","3 0t prestige quattro","2 0t prestige quattro","SUV","all wheel drive","all wheel drive",,"","",52500,53500,245,272,26,21,4431,4354
15,2013,"BMW","3 Series","ActiveHybrid 3","335i","335i","activehybrid 3","Sedan","rear wheel drive","rear wheel drive",,"","",49650,43150,335,300,28,23,3860,3545
16,2014,"BMW","3 Series","ActiveHybrid 3","335i","335i","activehybrid 3","Sedan","rear wheel drive","rear wheel drive",,"","",49900,43400,335,300,28,25,3825,3555
17,2015,"BMW","3 Series","ActiveHybrid 3","335i","335i","activehybrid 3","Sedan","rear wheel drive","rear wheel drive",,"","",50150,43750,335,300,28,25,3825,3595
18,2014,"BMW","5 Series","ActiveHybrid 5","535i","535i","activehybrid 5","Sedan","rear wheel drive","rear wheel drive",,"","",61400,55100,335,302,26,24,4365,4068
19,2015,"BMW","5 Series","ActiveHybrid 5","535i","535i","activehybrid 5","Sedan","rear wheel drive","rear wheel drive",,"","",61900,55600,335,302,26,24,4365,4090
20,2016,"BMW","5 Series","ActiveHybrid 5","535i","535i","activehybrid 5","Sedan","rear wheel drive","rear wheel drive",,"","",62100,55850,335,302,26,24,4288,3957
21,2013,"BMW","7 Series","740Li","740Li","740li","740li","Sedan","rear wheel drive","rear wheel drive",,"","",84300,77600,350,315,25,22,4680,4350
22,2014,"BMW","7 Series","740Li","740Li","740li","740li","Sedan","rear wheel drive","rear wheel drive",,"","",84300,78000,350,315,25,22,4680,4350
23,2015,"BMW","7 Series","740Li","740Li","740li","740li","Sedan","rear wheel drive","rear wheel drive",,"","",84300,78000,335,315,25,23,4680,4350
24,2012,"Cadillac","Escalade","Platinum Edition","Platinum Edition","platinum edition","platinum edition","SUV","rear wheel drive","rear wheel drive",,"","",83295,79945,332,403,21,16,5879,5488
25,2012,"Cadillac","Escalade","Platinum Edition","Platinum Edition","platinum edition","platinum edition","SUV","four wheel drive","all wheel drive",,"","",85845,82495,332,403,21,15,6120,5694
26,2013,"Cadillac","Escalade","Platinum Edition","Platinum Edition","platinum edition","platinum edition","SUV","rear wheel drive","rear wheel drive",,"","",83870,80520,332,403,21,16,5885,5527
27,2013,"Cadillac","Escalade","Platinum Edition","Platinum Edition","platinum edition","platinum edition","SUV","four wheel drive","all wheel drive",,"","",86420,83070,332,403,21,15,6142,5718
28,2017,"Chevrolet","Malibu","Hybrid","LT","lt","basic","Sedan","front wheel drive","front wheel drive",,"","",27875,25125,182,160,46,30,3457,3126
29,2018,"Chevrolet","Malibu","Hybrid","LT","lt","basic","Sedan","front wheel drive","front wheel drive",,"","",27875,25125,182,160,46,30,3366,3152
30,2019,"Chevrolet","Malibu","Hybrid","LT","lt","basic","Sedan","front wheel drive","front wheel drive",,"","",28220,26620,182,160,46,32,3366,3159
31,2020,"Ford","Escape","Titanium","Titanium","titanium","titanium","SUV","all wheel drive","all wheel drive",,"","",35050,36835,198,250,40,26,3668,3566
32,2021,"Ford","Escape","Titanium Hybrid","Titanium","titanium","titanium","SUV","all wheel drive","all wheel drive",,"","",34800,36155,165,250,40,26,3668,3566
33,2021,"Ford","Escape","SE Hybrid","SE","se","se","SUV","front wheel drive","front wheel drive",,"","",27605,26610,165,181,41,30,3491,3298
34,2021,"Ford","Escape","SE Hybrid","SE","se","se","SUV","all wheel drive","all wheel drive",,"","",29105,28110,165,181,40,28,3668,3474
35,2021,"Ford","Escape","SEL Hybrid","SEL","sel","sel","SUV","front wheel drive","front wheel drive",,"","",30200,29205,165,181,41,30,3534,3298
36,2021,"Ford","Escape","SEL Hybrid","SEL","sel","sel","SUV","all wheel drive","all wheel drive",,"","",31700,30705,165,181,40,28,3668,3474
37,2022,"Ford","Escape","Titanium Hybrid","Titanium","titanium","titanium","SUV","all wheel drive","all wheel drive",,"","",36595,37145,165,250,40,26,3668,3566
38,2022,"Ford","Escape","SE Hybrid","SE","se","se","SUV","front wheel drive","front wheel drive",,"","",30185,28360,165,181,41,30,3491,3298
39,2022,"Ford","Escape","SEL Hybrid","SEL","sel","sel","SUV","all wheel drive","all wheel drive",,"","",34055,32235,165,181,40,28,,3474
40,2022,"Ford","Escape","SE Hybrid","SE","se","se","SUV","all wheel drive","all wheel drive",,"","",31685,29860,165,181,40,28,,3474
41,2022,"Ford","Escape","SEL Hybrid","SEL","sel","sel","SUV","front wheel drive","front wheel drive",,"","",32550,30735,165,181,41,30,3534,3298
42,2023,"Ford","Escape","Platinum","Platinum","platinum","platinum","SUV","all wheel drive","all wheel drive",,"","",38465,37465,192,250,39,26,3668,3566
43,2023,"Ford","Escape","ST-Line","ST-Line","st line","st line","SUV","front wheel drive","front wheel drive",,"","",33340,30340,192,180,39,30,3534,3298
44,2023,"Ford","Escape","ST-Line Select","ST-Line Select","st line select","st line select","SUV","all wheel drive","all wheel drive",,"","",35040,34040,192,250,39,26,3668,3566
45,2023,"Ford","Escape","ST-Line Elite","ST-Line Elite","st line elite","st line elite","SUV","all wheel drive","all wheel drive",,"","",39460,38460,192,250,39,26,3668,3566
46,2024,"Ford","Escape","ST-Line Select","ST-Line Select","st line select","st line select","SUV","all wheel drive","all wheel drive",,"","",35040,34040,192,250,39,26,3686,3543
47,2024,"Ford","Escape","ST-Line Elite","ST-Line Elite","st line elite","st line elite","SUV","all wheel drive","all wheel drive",,"","",39460,38460,192,250,39,26,3686,3543
48,2024,"Ford","Escape","ST-Line","ST-Line","st line","st line","SUV","front wheel drive","front wheel drive",,"","",33340,30340,192,180,39,30,3519,3283
49,2024,"Ford","Escape","Platinum","Platinum","platinum","platinum","SUV","all wheel drive","all wheel drive",,"","",38465,37465,192,250,39,26,3686,3543
50,2025,"Ford","Escape","Platinum","Platinum","platinum","platinum","SUV","all wheel drive","all wheel drive",,"","",37115,35910,192,250,39,26,3684,3574
51,2025,"Ford","Escape","ST-Line","ST-Line","st line","st line","SUV","front wheel drive","front wheel drive",,"","",32490,30360,192,180,39,30,3529,
52,2025,"Ford","Escape","ST-Line Elite","ST-Line Elite","st line elite","st line elite","SUV","all wheel drive","all wheel drive",,"","",38110,36905,192,250,39,26,3684,3574
53,2025,"Ford","Escape","ST-Line Select","ST-Line Select","st line select","st line select","SUV","all wheel drive","all wheel drive",,"","",34190,33195,192,250,39,26,3670,3505
54,2026,"Ford","Escape","Platinum","Platinum","platinum","platinum","SUV","all wheel drive","all wheel drive",,"","",36215,37940,192,250,39,26,,
55,2026,"Ford","Escape","ST-Line Select","ST-Line Select","st line select","st line select","SUV","all wheel drive","all wheel drive",,"","",33890,35015,192,250,39,26,3670,3505
56,2026,"Ford","Escape","ST-Line Elite","ST-Line Elite","st line elite","st line elite","SUV","all wheel drive","all wheel drive",,"","",37210,38935,192,250,39,26,,
57,2020,"Ford","Explorer","Limited Hybrid","Limited","limited","limited","SUV","rear wheel drive","rear wheel drive",,"","",52530,48380,318,300,28,24,4969,4345
58,2020,"Ford","Explorer","Limited Hybrid","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",54725,50380,318,300,25,23,4969,4345
59,2021,"Ford","Explorer","Limited Hybrid","Limited","limited","limited","SUV","rear wheel drive","rear wheel drive",,"","",50105,45255,318,300,27,24,4969,4345
60,2021,"Ford","Explorer","Limited Hybrid","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",52105,47255,318,300,25,23,4969,4345
61,2021,"Ford","Explorer","Platinum Hybrid","Platinum","platinum","platinum","SUV","all wheel drive","all wheel drive",,"","",53335,54730,318,365,25,20,,4727
62,2022,"Ford","Explorer","Limited Hybrid","Limited","limited","limited","SUV","rear wheel drive","rear wheel drive",,"","",52060,47070,318,300,27,24,4969,4345
63,2022,"Ford","Explorer","Limited Hybrid","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",54060,49070,318,300,25,23,4969,4345
64,2022,"Ford","Explorer","Platinum Hybrid","Platinum","platinum","platinum","SUV","all wheel drive","all wheel drive",,"","",54375,55775,318,400,23,20,5076,4727
65,2022,"Ford","Explorer","Platinum Hybrid","Platinum","platinum","platinum","SUV","rear wheel drive","rear wheel drive",,"","",52375,53775,318,400,26,21,4969,4727
66,2023,"Ford","Explorer","Limited Hybrid","Limited","limited","limited","SUV","rear wheel drive","rear wheel drive",,"","",53005,47070,318,300,27,24,4969,4345
67,2023,"Ford","Explorer","Limited Hybrid","Limited","limited","limited","SUV","all wheel drive","all wheel drive",,"","",55005,49070,318,300,25,23,4969,4345
68,2023,"Ford","Explorer","Platinum Hybrid","Platinum","platinum","platinum","SUV","rear wheel drive","rear wheel drive",,"","",53820,54220,318,400,26,21,4969,4727
69,2023,"Ford","Explorer","Platinum Hybrid","Platinum","platinum","platinum","SUV","all wheel drive","all wheel drive",,"","",55820,56220,318,400,23,20,5076,4727
70,2013,"Ford","Fusion","SE","SE","se","se","Sedan","front wheel drive","front wheel drive",,"","",27200,23830,188,175,42,26,3615,3615
71,2013,"Ford","Fusion","Titanium","Titanium","titanium","titanium","Sedan","front wheel drive","front wheel drive",,"","EcoBoost",32100,30200,188,231,42,26,3615,3526
72,2014,"Ford","Fusion","SE","SE","se","se","Sedan","front wheel drive","front wheel drive",,"","",27280,23935,188,175,42,26,3615,3431
73,2014,"Ford","Fusion","Titanium","Titanium","titanium","titanium","Sedan","front wheel drive","front wheel drive",,"","EcoBoost",32600,30600,188,231,42,26,3615,3526
74,2014,"Ford","Fusion","S","S","s","s","Sedan","front wheel drive","front wheel drive",,"","",26270,21970,188,175,42,26,3615,3431
75,2015,"Ford","Fusion","S","S","s","s","Sedan","front wheel drive","front wheel drive",,"","",26575,22500,188,175,42,26,3615,3461
76,2015,"Ford","Fusion","SE","SE","se","se","Sedan","front wheel drive","front wheel drive",,"","",27380,24035,188,175,42,26,3615,3461
77,2015,"Ford","Fusion","Titanium","Titanium","titanium","titanium","Sedan","front wheel drive","front wheel drive",,"","EcoBoost",32330,30780,188,231,42,26,3615,3322
78,2016,"Ford","Fusion","S","S","s","s","Sedan","front wheel drive","front wheel drive",,"","",25675,22750,188,175,42,26,3615,3431
79,2016,"Ford","Fusion","SE","SE","se","se","Sedan","front wheel drive","front wheel drive",,"","",26480,24320,188,175,42,26,3615,3431
80,2016,"Ford","Fusion","Titanium","Titanium","titanium","titanium","Sedan","front wheel drive","front wheel drive",,"","EcoBoost",31430,31270,188,231,42,26,3615,3526
81,2017,"Ford","Fusion","Titanium","Titanium","titanium","titanium","Sedan","front wheel drive","front wheel drive",,"","",31010,30740,188,245,42,25,3668,3526
82,2017,"Ford","Fusion","SE","SE","se","se","Sedan","front wheel drive","front wheel drive",,"","",26480,23740,188,175,42,25,3668,3472
83,2017,"Ford","Fusion","S","S","s","s","Sedan","front wheel drive","front wheel drive",,"","",25675,22610,188,175,42,25,3668,3472
84,2017,"Ford","Fusion","Platinum","Platinum","platinum","platinum","Sedan","front wheel drive","front wheel drive",,"","",37020,36750,188,245,42,25,3668,3526
85,2018,"Ford","Fusion","S","S","s","s","Sedan","front wheel drive","front wheel drive",,"","",25390,22215,188,173,42,25,3668,3472
86,2018,"Ford","Fusion","SE","SE","se","se","Sedan","front wheel drive","front wheel drive",,"","",26340,23490,188,173,42,25,3668,3472
87,2018,"Ford","Fusion","Titanium","Titanium","titanium","titanium","Sedan","front wheel drive","front wheel drive",,"","",30870,30490,188,245,42,25,3668,3526
88,2018,"Ford","Fusion","Platinum","Platinum","platinum","platinum","Sedan","front wheel drive","front wheel drive",,"","",37370,36990,188,245,42,25,3668,3526
89,2019,"Ford","Fusion","SEL","SEL","sel","sel","Sedan","front wheel drive","front wheel drive",,"","",31520,28580,188,181,42,27,3668,
90,2019,"Ford","Fusion","Titanium","Titanium","titanium","titanium","Sedan","front wheel drive","front wheel drive",,"","",34485,34340,188,245,42,25,3668,
91,2019,"Ford","Fusion","SE","SE","se","se","Sedan","front wheel drive","front wheel drive",,"","",27555,24120,188,181,42,27,3668,
92,2020,"Ford","Fusion","SE","SE","se","se","Sedan","front wheel drive","front wheel drive",,"","",28000,24500,188,181,42,27,3668,
93,2020,"Ford","Fusion","SEL","SEL","sel","sel","Sedan","front wheel drive","front wheel drive",,"","",31630,28690,188,181,42,27,3668,
94,2020,"Ford","Fusion","Titanium","Titanium","titanium","titanium","Sedan","front wheel drive","front wheel drive",,"","",34595,34450,188,245,42,25,3668,
95,2012,"GMC","Yukon","Denali","Denali","denali","denali","SUV","rear wheel drive","rear wheel drive",,"","",60285,55010,332,403,21,16,5877,5505
96,2012,"GMC","Yukon","Denali","Denali","denali","denali","SUV","four wheel drive","all wheel drive",,"","",63130,58005,332,403,21,15,6110,5688
97,2013,"GMC","Yukon","Denali","Denali","denali","denali","SUV","rear wheel drive","rear wheel drive",,"","",61960,56685,332,403,21,16,5889,5491
98,2013,"GMC","Yukon","Denali","Denali","denali","denali","SUV","four wheel drive","all wheel drive",,"","",64805,59680,332,403,21,15,6103,5685
99,2014,"Honda","Accord","EX-L","EX-L","ex l","ex l","Sedan","front wheel drive","front wheel drive",,"","",31905,28270,195,185,47,30,3595,3358
100,2014,"Honda","Accord","Touring","Touring V-6","touring v 6","touring","Sedan","front wheel drive","front wheel drive",,"","",34905,33480,195,278,47,25,3602,3559
101,2015,"Honda","Accord","EX-L","EX-L","ex l","ex l","Sedan","front wheel drive","front wheel drive",,"","",32055,28420,196,185,47,31,3595,3358
102,2015,"Honda","Accord","Touring","Touring V-6","touring v 6","touring","Sedan","front wheel drive","front wheel drive",,"","",35055,33630,196,278,47,26,3602,3559
103,2017,"Honda","Accord","Touring","Touring V-6","touring v 6","touring","Sedan","front wheel drive","front wheel drive",,"","",35955,34830,212,278,48,25,3536,3605
104,2017,"Honda","Accord","EX-L","EX-L","ex l","ex l","Sedan","front wheel drive","front wheel drive",,"","",32905,28820,212,185,48,30,3523,3360
105,2018,"Honda","Accord","EX","EX","ex","ex","Sedan","front wheel drive","front wheel drive",,"","",28890,27470,212,192,47,33,3377,3199
106,2018,"Honda","Accord","EX-L","EX-L","ex l","ex l","Sedan","front wheel drive","front wheel drive",,"","",31440,29970,212,192,47,33,3400,3217
107,2018,"Honda","Accord","Base","LX","lx","base","Sedan","front wheel drive","front wheel drive",,"","",25100,23570,212,192,47,33,3342,3131
108,2018,"Honda","Accord","Touring","Touring","touring","touring","Sedan","front wheel drive","front wheel drive",,"","",34710,33800,212,192,47,31,3428,3294
109,2018,"Honda","Accord","EX-L","EX-L","ex l","ex l","Sedan","front wheel drive","front wheel drive",,"Navi","Navi",32440,30970,212,192,47,33,3400,3217
110,2019,"Honda","Accord","EX","EX","ex","ex","Sedan","front wheel drive","front wheel drive",,"","",29220,27620,212,192,48,33,3377,3199
111,2019,"Honda","Accord","Touring","Touring","touring","touring","Sedan","front wheel drive","front wheel drive",,"","",34990,35950,212,252,48,26,3428,3428
112,2019,"Honda","Accord","Base","LX","lx","base","Sedan","front wheel drive","front wheel drive",,"","",25320,23720,212,192,48,33,3342,3131
113,2019,"Honda","Accord","EX-L","EX-L","ex l","ex l","Sedan","front wheel drive","front wheel drive",,"","",31720,30120,212,192,48,33,3400,3217
114,2020,"Honda","Accord","EX","EX","ex","ex","Sedan","front wheel drive","front wheel drive",,"","",29370,27770,212,192,48,33,3377,3199
115,2020,"Honda","Accord","Touring","Touring","touring","touring","Sedan","front wheel drive","front wheel drive",,"","",35140,36100,212,252,48,26,3428,3428
116,2020,"Honda","Accord","Base","LX","lx","base","Sedan","front wheel drive","front wheel drive",,"","",25470,23870,212,192,48,33,3342,3131
117,2020,"Honda","Accord","EX-L","EX-L","ex l","ex l","Sedan","front wheel drive","front wheel drive",,"","",31870,30270,212,192,48,33,3400,3217
118,2021,"Honda","Accord","Base","LX","lx","base","Sedan","front wheel drive","front wheel drive",,"","",26370,24770,212,192,48,33,3327,3131
119,2021,"Honda","Accord","Touring","Touring","touring","touring","Sedan","front wheel drive","front wheel drive",,"","",36240,36700,212,252,43,26,3415,3428
120,2021,"Honda","Accord","EX-L","EX-L","ex l","ex l","Sedan","front wheel drive","front wheel drive",,"","",32690,31090,212,192,48,33,3386,3217
121,2022,"Honda","Accord","Base","LX","lx","base","Sedan","front wheel drive","front wheel drive",,"","",27720,26520,212,192,47,33,3326,3150
122,2022,"Honda","Accord","EX-L","EX-L","ex l","ex l","Sedan","front wheel drive","front wheel drive",,"","",34040,32840,212,192,47,33,3388,3221
123,2022,"Honda","Accord","Touring","Touring","touring","touring","Sedan","front wheel drive","front wheel drive",,"","",37590,38450,212,252,43,26,3446,3430
124,2022,"Honda","Accord","Sport","Sport","sport","sport","Sedan","front wheel drive","front wheel drive",,"","",31070,28980,212,192,43,32,3375,3223
125,2020,"Honda","CR-V","LX","LX","lx","lx","SUV","all wheel drive","all wheel drive",,"","",27850,26550,212,190,38,29,3649,3455
126,2020,"Honda","CR-V","EX-L","EX-L","ex l","ex l","SUV","all wheel drive","all wheel drive",,"","",32850,31550,212,190,38,29,3649,3536
127,2020,"Honda","CR-V","EX","EX","ex","ex","SUV","all wheel drive","all wheel drive",,"","",30360,29060,212,190,38,29,3649,3521
128,2020,"Honda","CR-V","Touring","Touring","touring","touring","SUV","all wheel drive","all wheel drive",,"","",36050,34750,212,190,38,29,3649,3576
129,2021,"Honda","CR-V","Touring","Touring","touring","touring","SUV","all wheel drive","all wheel drive",,"","",36350,35150,212,190,38,29,3649,3569
130,2021,"Honda","CR-V","EX","EX","ex","ex","SUV","all wheel drive","all wheel drive",,"","",30560,29360,212,190,38,29,3649,3514
131,2021,"Honda","CR-V","EX-L","EX-L","ex l","ex l","SUV","all wheel drive","all wheel drive",,"","",33150,31950,212,190,38,29,3649,3529
132,2022,"Honda","CR-V","Touring","Touring","touring","touring","SUV","all wheel drive","all wheel drive",,"","",37800,36600,212,190,38,29,3763,3569
133,2022,"Honda","CR-V","EX","EX","ex","ex","SUV","all wheel drive","all wheel drive",,"","",32010,30810,212,190,38,29,3708,3514
134,2022,"Honda","CR-V","EX-L","EX-L","ex l","ex l","SUV","all wheel drive","all wheel drive",,"","",34600,33400,212,190,38,29,3723,3529
135,2024,"Honda","CR-V","Sport Hybrid","EX","ex","sport","SUV","front wheel drive","front wheel drive",,"","",34050,32010,204,190,40,30,3752,3497
136,2024,"Honda","CR-V","Sport Hybrid","EX","ex","sport","SUV","all wheel drive","all wheel drive",,"","",35550,33510,204,190,37,29,3869,3616
137,2024,"Honda","CR-V","Sport-L Hybrid","EX-L","ex l","sport l","SUV","front wheel drive","front wheel drive",,"","",37050,34660,204,190,40,30,3777,3525
138,2024,"Honda","CR-V","Sport-L Hybrid","EX-L","ex l","sport l","SUV","all wheel drive","all wheel drive",,"","",38550,36160,204,190,37,29,3893,3635
139,2025,"Honda","CR-V","Sport-L Hybrid","EX-L","ex l","sport l","SUV","front wheel drive","front wheel drive",,"","",37650,35000,204,190,40,30,3777,3525
140,2025,"Honda","CR-V","Sport-L Hybrid","EX-L","ex l","sport l","SUV","all wheel drive","all wheel drive",,"","",39150,36500,204,190,37,28,3893,3635
141,2025,"Honda","CR-V","Sport Hybrid","EX","ex","sport","SUV","all wheel drive","all wheel drive",,"","",36150,33850,204,190,37,28,3869,3616
142,2025,"Honda","CR-V","Sport Hybrid","EX","ex","sport","SUV","front wheel drive","front wheel drive",,"","",34650,32350,204,190,40,30,3752,3497
